2024-10-09 17:19:06,944 p=14672 u=kirill n=ansible | TASK [web_servers : change timeout value in apache2.conf] *****************************
2024-10-09 17:19:07,398 p=14672 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:19:07,403 p=14672 u=kirill n=ansible | TASK [web_servers : restart apache2] **************************************************
2024-10-09 17:19:07,422 p=14672 u=kirill n=ansible | skipping: [server-2.sber.ru]
2024-10-09 17:19:07,433 p=14672 u=kirill n=ansible | TASK [web_servers : copy default html file for site] **********************************
2024-10-09 17:19:08,368 p=14672 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:19:08,388 p=14672 u=kirill n=ansible | PLAY [workstations] *******************************************************************
2024-10-09 17:19:08,391 p=14672 u=kirill n=ansible | PLAY RECAP ****************************************************************************
2024-10-09 17:19:08,392 p=14672 u=kirill n=ansible | localhost                  : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2024-10-09 17:19:08,392 p=14672 u=kirill n=ansible | server-1.sber.ru           : ok=4    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-10-09 17:19:08,393 p=14672 u=kirill n=ansible | server-2.sber.ru           : ok=9    changed=0    unreachable=0    failed=0    skipped=1    rescued=0    ignored=0   
2024-10-09 17:25:27,861 p=14973 u=kirill n=ansible | PLAY [all] ****************************************************************************
2024-10-09 17:25:27,868 p=14973 u=kirill n=ansible | TASK [Gathering Facts] ****************************************************************
2024-10-09 17:25:28,352 p=14973 u=kirill n=ansible | fatal: [localhost]: FAILED! => {"ansible_facts": {}, "changed": false, "failed_modules": {"ansible.legacy.setup": {"failed": true, "module_stderr": "sudo: a password is required\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}}, "msg": "The following modules failed to execute: ansible.legacy.setup\n"}
2024-10-09 17:25:30,401 p=14973 u=kirill n=ansible | ok: [server-1.sber.ru]
2024-10-09 17:25:30,416 p=14973 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:25:30,425 p=14973 u=kirill n=ansible | TASK [update cache] *******************************************************************
2024-10-09 17:25:36,088 p=14973 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:25:37,672 p=14973 u=kirill n=ansible | ok: [server-1.sber.ru]
2024-10-09 17:25:37,709 p=14973 u=kirill n=ansible | PLAY [server_2] ***********************************************************************
2024-10-09 17:25:37,718 p=14973 u=kirill n=ansible | TASK [Gathering Facts] ****************************************************************
2024-10-09 17:25:39,088 p=14973 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:25:39,102 p=14973 u=kirill n=ansible | TASK [base : add ssh key for susan] ***************************************************
2024-10-09 17:25:39,715 p=14973 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:25:39,734 p=14973 u=kirill n=ansible | PLAY [server_2] ***********************************************************************
2024-10-09 17:25:39,741 p=14973 u=kirill n=ansible | TASK [Gathering Facts] ****************************************************************
2024-10-09 17:25:41,030 p=14973 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:25:41,046 p=14973 u=kirill n=ansible | TASK [web_servers : install apache, Lynx browser] *************************************
2024-10-09 17:25:44,392 p=14973 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:25:44,399 p=14973 u=kirill n=ansible | TASK [web_servers : start apache2 (this is not required for Ubuntu. But for Fedora and RHEL you need to start services manually after installation in most cases)] ***
2024-10-09 17:25:45,222 p=14973 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:25:45,231 p=14973 u=kirill n=ansible | TASK [web_servers : change timeout value in apache2.conf] *****************************
2024-10-09 17:25:45,717 p=14973 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:25:45,723 p=14973 u=kirill n=ansible | TASK [web_servers : restart apache2] **************************************************
2024-10-09 17:25:45,745 p=14973 u=kirill n=ansible | skipping: [server-2.sber.ru]
2024-10-09 17:25:45,751 p=14973 u=kirill n=ansible | TASK [web_servers : copy default html file for site] **********************************
2024-10-09 17:25:46,765 p=14973 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:25:46,797 p=14973 u=kirill n=ansible | PLAY [workstations] *******************************************************************
2024-10-09 17:25:46,800 p=14973 u=kirill n=ansible | PLAY RECAP ****************************************************************************
2024-10-09 17:25:46,801 p=14973 u=kirill n=ansible | localhost                  : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2024-10-09 17:25:46,801 p=14973 u=kirill n=ansible | server-1.sber.ru           : ok=2    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2024-10-09 17:25:46,801 p=14973 u=kirill n=ansible | server-2.sber.ru           : ok=9    changed=0    unreachable=0    failed=0    skipped=1    rescued=0    ignored=0   
2024-10-09 17:26:23,143 p=15139 u=kirill n=ansible | ERROR! the playbook: site could not be found
2024-10-09 17:26:26,540 p=15164 u=kirill n=ansible | PLAY [all] *****************************************************************************************************************************************************************
2024-10-09 17:26:26,548 p=15164 u=kirill n=ansible | TASK [Gathering Facts] *****************************************************************************************************************************************************
2024-10-09 17:26:26,914 p=15164 u=kirill n=ansible | fatal: [localhost]: FAILED! => {"ansible_facts": {}, "changed": false, "failed_modules": {"ansible.legacy.setup": {"failed": true, "module_stderr": "sudo: a password is required\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}}, "msg": "The following modules failed to execute: ansible.legacy.setup\n"}
2024-10-09 17:26:28,231 p=15164 u=kirill n=ansible | ok: [server-2.sber.ru]
2024-10-09 17:26:28,249 p=15164 u=kirill n=ansible | ok: [server-1.sber.ru]
